,fields.resolutiondate,fields.updated
0,,2021-11-22T21:58:37.000+0000
1,,2021-11-22T16:16:32.000+0000
2,2021-11-18T17:36:05.000+0000,2021-11-18T20:41:51.000+0000
3,2021-11-18T17:39:18.000+0000,2021-11-18T17:39:54.000+0000
4,,2021-11-15T18:18:26.000+0000
5,,2021-11-09T14:47:33.000+0000
6,,2021-11-19T22:01:57.000+0000
7,,2021-11-03T18:11:44.000+0000
8,,2021-11-03T15:01:53.000+0000
9,,2021-11-02T17:50:39.000+0000
10,,2021-10-27T16:57:14.000+0000
11,2021-10-22T21:15:19.000+0000,2021-10-22T21:15:19.000+0000
12,,2021-10-22T18:21:24.000+0000
13,,2021-10-22T12:26:28.000+0000
14,,2021-10-27T16:29:38.000+0000
15,,2021-10-21T19:13:41.000+0000
16,,2021-10-20T19:45:33.000+0000
17,,2021-10-19T13:46:11.000+0000
18,2021-10-29T16:57:48.000+0000,2021-11-03T15:01:53.000+0000
19,,2021-10-12T15:18:26.000+0000
20,,2021-10-08T15:05:29.000+0000
21,,2021-10-05T18:46:17.000+0000
22,,2021-09-29T15:07:19.000+0000
23,2021-10-06T19:02:07.000+0000,2021-10-06T19:02:07.000+0000
24,2021-10-07T14:18:22.000+0000,2021-10-07T14:58:51.000+0000
25,2021-09-28T13:28:10.000+0000,2021-09-28T13:28:25.000+0000
26,,2021-09-28T14:37:08.000+0000
27,2021-11-23T16:45:06.000+0000,2021-11-23T16:45:06.000+0000
28,2021-10-01T12:54:14.000+0000,2021-10-01T12:54:14.000+0000
29,,2021-09-30T02:09:01.000+0000
30,2021-09-28T11:12:24.000+0000,2021-09-28T11:12:24.000+0000
31,,2021-09-28T14:47:30.000+0000
32,,2021-09-30T02:09:58.000+0000
33,,2021-09-21T16:34:47.000+0000
34,2021-09-21T15:13:40.000+0000,2021-09-21T15:34:45.000+0000
35,,2021-09-23T09:58:15.000+0000
36,2021-09-21T14:26:39.000+0000,2021-09-21T14:26:39.000+0000
37,,2021-09-30T15:34:11.000+0000
38,,2021-09-13T19:43:55.000+0000
39,,2021-09-13T19:55:58.000+0000
40,,2021-09-23T09:51:06.000+0000
41,,2021-09-09T15:21:51.000+0000
42,,2021-09-07T17:57:26.000+0000
43,,2021-09-03T19:33:19.000+0000
44,,2021-09-03T14:14:30.000+0000
45,,2021-09-30T14:40:14.000+0000
46,,2021-09-03T14:34:45.000+0000
47,2021-10-08T17:13:28.000+0000,2021-10-08T17:13:28.000+0000
48,,2021-09-01T20:31:59.000+0000
49,,2021-10-12T19:11:38.000+0000
