route_id,direction_id,first_stop,last_stop,stop_order,stop_id,stop_name,ObjectId
Blue,0,Wonderland,Bowdoin,1,place-wondl,Wonderland,1
Blue,0,Wonderland,Bowdoin,2,place-rbmnl,Revere Beach,2
Blue,0,Wonderland,Bowdoin,3,place-bmmnl,Beachmont,3
Blue,0,Wonderland,Bowdoin,4,place-sdmnl,Suffolk Downs,4
Blue,0,Wonderland,Bowdoin,5,place-orhte,Orient Heights,5
Blue,0,Wonderland,Bowdoin,6,place-wimnl,Wood Island,6
Blue,0,Wonderland,Bowdoin,7,place-aport,Airport,7
Blue,0,Wonderland,Bowdoin,8,place-mvbcl,Maverick,8
Blue,0,Wonderland,Bowdoin,9,place-aqucl,Aquarium,9
Blue,0,Wonderland,Bowdoin,10,place-state,State Street,10
Blue,0,Wonderland,Bowdoin,11,place-gover,Government Center,11
Blue,0,Wonderland,Bowdoin,12,place-bomnl,Bowdoin,12
Blue,1,Bowdoin,Wonderland,1,place-bomnl,Bowdoin,13
Blue,1,Bowdoin,Wonderland,2,place-gover,Government Center,14
Blue,1,Bowdoin,Wonderland,3,place-state,State Street,15
Blue,1,Bowdoin,Wonderland,4,place-aqucl,Aquarium,16
Blue,1,Bowdoin,Wonderland,5,place-mvbcl,Maverick,17
Blue,1,Bowdoin,Wonderland,6,place-aport,Airport,18
Blue,1,Bowdoin,Wonderland,7,place-wimnl,Wood Island,19
Blue,1,Bowdoin,Wonderland,8,place-orhte,Orient Heights,20
Blue,1,Bowdoin,Wonderland,9,place-sdmnl,Suffolk Downs,21
Blue,1,Bowdoin,Wonderland,10,place-bmmnl,Beachmont,22
Blue,1,Bowdoin,Wonderland,11,place-rbmnl,Revere Beach,23
Blue,1,Bowdoin,Wonderland,12,place-wondl,Wonderland,24
Green,0,Lechmere,Boston College,1,place-lech,Lechmere,25
Green,0,Lechmere,Boston College,2,place-spmnl,Science Park,26
Green,0,Lechmere,Boston College,3,place-north,North Station,27
Green,0,Lechmere,Boston College,4,place-haecl,Haymarket,28
Green,0,Lechmere,Boston College,5,place-gover,Government Center,29
Green,0,Lechmere,Boston College,6,place-pktrm,Park Street,30
Green,0,Lechmere,Boston College,7,place-boyls,Boylston,31
Green,0,Lechmere,Boston College,8,place-armnl,Arlington,32
Green,0,Lechmere,Boston College,9,place-coecl,Copley,33
Green,0,Lechmere,Boston College,10,place-hymnl,Hynes Convention Center,34
Green,0,Lechmere,Boston College,11,place-kencl,Kenmore,35
Green,0,Lechmere,Boston College,12,place-bland,Blandford Street,36
Green,0,Lechmere,Boston College,13,place-buest,Boston Univ. East,37
Green,0,Lechmere,Boston College,14,place-bucen,Boston Univ. Central,38
Green,0,Lechmere,Boston College,15,place-buwst,Boston Univ. West,39
Green,0,Lechmere,Boston College,16,place-stplb,Saint Paul Street,40
Green,0,Lechmere,Boston College,17,place-plsgr,Pleasant Street,41
Green,0,Lechmere,Boston College,18,place-babck,Babcock Street,42
Green,0,Lechmere,Boston College,19,place-brico,Packards Corner,43
Green,0,Lechmere,Boston College,20,place-harvd,Harvard Ave.,44
Green,0,Lechmere,Boston College,21,place-grigg,Griggs Street,45
Green,0,Lechmere,Boston College,22,place-alsgr,Allston Street,46
Green,0,Lechmere,Boston College,23,place-wrnst,Warren Street,47
Green,0,Lechmere,Boston College,24,place-wascm,Washington Street,48
Green,0,Lechmere,Boston College,25,place-sthld,Sutherland Road,49
Green,0,Lechmere,Boston College,26,place-chswk,Chiswick Road,50
Green,0,Lechmere,Boston College,27,place-chill,Chestnut Hill Ave.,51
Green,0,Lechmere,Boston College,28,place-sougr,South Street,52
Green,0,Lechmere,Boston College,29,place-lake,Boston College,53
Green,0,Lechmere,Cleveland Circle,1,place-lech,Lechmere,54
Green,0,Lechmere,Cleveland Circle,2,place-spmnl,Science Park,55
Green,0,Lechmere,Cleveland Circle,3,place-north,North Station,56
Green,0,Lechmere,Cleveland Circle,4,place-haecl,Haymarket,57
Red,0,Alewife,Ashmont,17,place-asmnl,Ashmont,58
Green,0,Lechmere,Cleveland Circle,5,place-gover,Government Center,59
Red,0,Alewife,Braintree,1,place-alfcl,Alewife,60
Red,0,Alewife,Braintree,2,place-davis,Davis,61
Red,0,Alewife,Braintree,3,place-portr,Porter,62
Red,0,Alewife,Braintree,4,place-harsq,Harvard,63
Red,0,Alewife,Braintree,5,place-cntsq,Central,64
Red,0,Alewife,Braintree,6,place-knncl,Kendall/MIT,65
Red,0,Alewife,Braintree,7,place-chmnl,Charles/MGH,66
Red,0,Alewife,Braintree,8,place-pktrm,Park Street,67
Red,0,Alewife,Braintree,9,place-dwnxg,Downtown Crossing,68
Red,0,Alewife,Braintree,10,place-sstat,South Station,69
Red,0,Alewife,Braintree,11,place-brdwy,Broadway,70
Red,0,Alewife,Braintree,12,place-andrw,Andrew,71
Red,0,Alewife,Braintree,13,place-jfk,JFK/Umass,72
Red,0,Alewife,Braintree,14,place-nqncy,North Quincy,73
Red,0,Alewife,Braintree,15,place-wlsta,Wollaston,74
Red,0,Alewife,Braintree,16,place-qnctr,Quincy Center,75
Red,0,Alewife,Braintree,17,place-qamnl,Quincy Adams,76
Red,0,Alewife,Braintree,18,place-brntn,Braintree,77
Red,1,Ashmont,Alewife,1,place-asmnl,Ashmont,78
Red,1,Ashmont,Alewife,2,place-smmnl,Shawmut,79
Red,1,Ashmont,Alewife,3,place-fldcr,Fields Corner,80
Red,1,Ashmont,Alewife,4,place-shmnl,Savin Hill,81
Red,1,Ashmont,Alewife,5,place-jfk,JFK/Umass,82
Red,1,Ashmont,Alewife,6,place-andrw,Andrew,83
Red,1,Ashmont,Alewife,7,place-brdwy,Broadway,84
Red,1,Ashmont,Alewife,8,place-sstat,South Station,85
Red,1,Ashmont,Alewife,9,place-dwnxg,Downtown Crossing,86
Red,1,Ashmont,Alewife,10,place-pktrm,Park Street,87
Red,1,Ashmont,Alewife,11,place-chmnl,Charles/MGH,88
Red,1,Ashmont,Alewife,12,place-knncl,Kendall/MIT,89
Red,1,Ashmont,Alewife,13,place-cntsq,Central,90
Red,1,Ashmont,Alewife,14,place-harsq,Harvard,91
Red,1,Ashmont,Alewife,15,place-portr,Porter,92
Red,1,Ashmont,Alewife,16,place-davis,Davis,93
Red,1,Ashmont,Alewife,17,place-alfcl,Alewife,94
Red,1,Braintree,Alewife,1,place-brntn,Braintree,95
Red,1,Braintree,Alewife,2,place-qamnl,Quincy Adams,96
Red,1,Braintree,Alewife,3,place-qnctr,Quincy Center,97
Red,1,Braintree,Alewife,4,place-wlsta,Wollaston,98
Red,1,Braintree,Alewife,5,place-nqncy,North Quincy,99
Red,1,Braintree,Alewife,6,place-jfk,JFK/Umass,100
Red,1,Braintree,Alewife,7,place-andrw,Andrew,101
